0
bloody,1,0,0,0
hanging,0,0,0,0
allowed,0,1,0,0
asked,0,0,0,0
brought,0,0,0,0
a cold eye,1,0,0,0
murmured,0,0,0,0
came in,0,0,0,0
sat down,0,0,0,0
cast back,0,0,0,0
remembered,0,0,0,0
cleared,0,1,0,0
his throat,0,0,0,0
closed,0,0,0,0
his eyes,0,0,0,0
coughed,0,0,0,0
drew out,0,0,0,0
a letter,0,0,0,0
followed,0,0,0,0
stroked,0,0,0,0
his upper lip,0,0,0,0
gently,0,1,0,0
his chin,0,0,0,0
his jaw,0,0,0,0
his face,0,0,0,0
grunted,0,0,0,0
inquired,0,0,0,0
interposed,0,0,0,0
spoke,0,0,0,0
with authority,0,0,0,0
interrupted,1,0,0,0
knows,0,0,0,0
his law,0,0,0,0
retired,0,0,0,0
from the bench,0,0,0,0
lately,0,0,0,0
puffed,0,0,0,0
a cigar,0,0,0,0
ran an interested eye,0,0,0,0
lifted,0,0,0,0
a hand,0,0,0,0
looked out,0,0,0,0
thoughtfully,0,1,0,0
made,0,0,0,0
no reply,0,0,0,0
some notes,0,0,0,0
mellowed,0,1,0,0
murdered,1,0,0,0
nodded,0,0,0,0
thoughtfully,0,1,0,0
gently,0,1,0,0
approval,0,1,0,0
his head,0,0,0,0
observed,0,0,0,0
read,0,0,0,0
reflected,0,0,0,0
removed,0,0,0,0
his false teeth,1,0,0,0
his garments,0,0,0,0
said,0,0,0,0
calmly,0,1,0,0
cautiously,0,1,0,0
drily,0,0,0,0
evenly,0,0,0,0
gently,0,1,0,0
gravely,1,0,0,0
in his small clear voice,0,0,0,0
quitely,0,0,0,0
sharply,0,0,0,0
slowly,0,0,0,0
suddenly,0,0,0,0
with a slight start,0,0,0,0
huddled,0,0,0,0
hunched upper,0,0,0,0
in his habitual pose,0,0,0,0
shaved,0,0,0,0
dressed,0,0,0,0
pace up,0,0,0,0
pace down,0,0,0,0
bent down,0,0,0,0
his head,0,0,0,0
smiled,0,1,0,0
stared,0,0,0,0
stirred,0,0,0,0
turned,0,0,0,0
a keen eye on ,0,1,0,0
his attention to,0,0,0,0
took charge of ,1,0,0,0
waited,0,0,0,0
wanted,0,0,0,0
wound up,1,0,0,0
carefully,0,1,0,0
wriggled,0,0,0,0
his tortoiselike neck,0,0,0,0
old,0,0,0,0
