"","negative","positive","neg_positive","neg_negative"
text1,0,1,0,0
text2,0,1,0,0
text3,1,0,0,0
text4,0,0,0,0
text5,0,0,0,0
text6,0,0,0,0
text7,1,0,0,0
text8,0,1,0,0
text9,0,0,0,0
text10,0,0,0,0
text11,0,0,0,0
text12,0,0,0,0
text13,0,0,0,0
text14,1,0,0,0
text15,0,1,0,0
text16,1,0,0,0
text17,1,0,0,0
text18,0,0,0,0
text19,0,1,0,0
text20,1,0,0,0
text21,0,0,0,0
text22,1,0,0,0
text23,0,0,0,0
text24,1,0,0,0
text25,0,0,0,0
text26,0,0,0,0
text27,1,0,0,0
text28,0,1,0,0
text29,0,1,0,0
text30,0,0,0,0
text31,0,0,0,0
text32,0,0,0,0
text33,0,0,0,0
text34,0,0,0,0
text35,0,1,0,0
text36,1,0,0,0
text37,0,0,0,0
text38,0,0,0,0
text39,0,1,0,0
text40,1,0,0,0
text41,0,0,0,0
text42,0,1,0,0
text43,0,0,0,0
text44,0,0,0,0
text45,0,0,0,0
text46,0,0,0,0
text47,0,0,0,0
text48,0,0,0,0
text49,0,0,0,0
text50,0,0,0,0
text51,1,0,0,0
text52,0,0,0,0
text53,1,0,0,0
text54,0,0,0,0
text55,0,0,0,0
text56,0,1,0,0
text57,0,0,0,0
text58,0,0,0,0
text59,1,0,0,0
text60,1,0,0,0
text61,0,1,0,0
text62,0,1,0,0
text63,0,0,0,0
text64,0,0,0,0
text65,0,1,0,0
