"source","negative","positive","neg_positive","neg_negative"
"handed over",0,0,0,0
"her drink",0,0,0,0
"hesitated",1,0,0,0
"said",0,0,0,0
"impatiently",1,0,0,0
"quickly",0,0,0,0
"nice things",0,1,0,0
"some pretty things",0,0,0,0
"sweetly",0,1,0,0
"in an enthusiastic voice",0,1,0,0
"in a soft voice",0,0,0,0
"sighed",1,0,0,0
"softly",0,0,0,0
"laughed",0,0,0,0
"opened",0,1,0,0
"wide surprised eyes",0,0,0,0
"big garden party",0,0,0,0
"put down",0,0,0,0
"her glass",0,0,0,0
"react",0,0,0,0
"so late",0,0,0,0
"received",0,0,0,0
"guests",0,0,0,0
"Craddock",0,0,0,0
"sat up",0,0,0,0
"with a sudden vigorous movement",0,1,0,0
"feel",0,0,0,0
"suddenly ill",1,0,0,0
"shake",1,0,0,0
"hands",0,0,0,0
"her head",0,0,0,0
"smiled",0,1,0,0
"looked pleased",0,1,0,0
"surprised",0,0,0,0
"turned away",0,0,0,0
"turned",0,0,0,0
"to him",0,0,0,0
"poor",1,0,0,0
"asked",0,0,0,0
"very sweetly",0,1,0,0
"delicately",0,1,0,0
"a nymphomaniac",0,0,0,0
"kissed",0,1,0,0
"delighted",0,1,0,0
"startled",1,0,0,0
"frightened",1,0,0,0
"the intended victim",1,0,0,0
"treated",0,0,0,0
"badly",1,0,0,0
