"source","negative","positive","neg_positive","neg_negative"
"admired",0,1,0,0
"appeared",0,0,0,0
"arrived",0,0,0,0
"called",0,0,0,0
"came down",0,0,0,0
"came",0,0,0,0
"followed",0,0,0,0
"closely",0,0,0,0
"went on",0,0,0,0
"attractive to women",0,1,0,0
"a magnificent swimmer",0,1,0,0
"crazy about Arlena",1,0,0,0
"confidently",0,1,0,0
"cried",1,0,0,0
"darling",0,1,0,0
"drop down",0,0,0,0
"dropped",0,0,0,0
"flushed",0,1,0,0
"slightly",0,0,0,0
"hesitated",1,0,0,0
"laughed",0,0,0,0
"looked up",0,0,0,0
"looked slightly puzzled",1,0,0,0
"stared",0,0,0,0
"angrily",1,0,0,0
"shook",0,0,0,0
"his head decisively",0,1,0,0
"murmured",0,0,0,0
"said",0,0,0,0
"earnestly",0,1,0,0
"sharply",0,0,0,0
"bitterly",1,0,0,0
"interrupting",1,0,0,0
"fellow",0,0,0,0
"young",0,0,0,0
"standing",0,0,0,0
"was rowing",0,0,0,0
"vigorously still",0,1,0,0
"silent",0,0,0,0
"a good specimen of humanity",0,1,0,0
"smokes",0,0,0,0
"shot",0,0,0,0
"an inquiring glance",0,0,0,0
"thought",0,0,0,0
"looked sulky",1,0,0,0
"cares",0,1,0,0
"his wife",0,0,0,0
"met ",0,0,0,0
"his eyes squarely",0,0,0,0
"exploits",1,0,0,0
"women",0,0,0,0
