"source","negative","positive","neg_positive","neg_negative"
"agreed",0,1,0,0
"diplomatically",0,0,0,0
"acknowledged",0,0,0,0
"admitted",0,1,0,0
"answered",0,0,0,0
"arranged",0,0,0,0
"neatly",0,1,0,0
"asked",0,0,0,0
"gently",0,1,0,0
"assented",0,1,0,0
"looked",0,0,0,0
"thoughtfully",0,1,0,0
"with appreciation",0,1,0,0
"into it",0,0,0,0
"serious",0,0,0,0
"beamed",0,0,0,0
"kindly",0,1,0,0
"breakfasted",0,0,0,0
"came",0,0,0,0
"gallantly",0,1,0,0
"cried",1,0,0,0
"cut in",0,0,0,0
"descended",0,0,0,0
"displayed",0,0,0,0
"silently",0,0,0,0
"encountered",0,0,0,0
"entered",0,0,0,0
"felt",0,0,0,0
"a keen sense of pleasure",0,3,0,0
"finished the sentence",0,0,0,0
"followed",0,0,0,0
"frowned",1,0,0,0
"got up",0,0,0,0
"eloquent",0,1,0,0
"moved",0,0,0,0
"hesitated",1,0,0,0
"interrupted",1,0,0,0
"leaned back",0,0,0,0
"leaned forward",0,1,0,0
"leaped",0,0,0,0
"liked ",0,1,0,0
"murmured",0,0,0,0
"thoughtfully",0,1,0,0
"nodded",0,0,0,0
"observed",0,0,0,0
"meditatively",0,0,0,0
"offered",0,0,0,0
"a cigarette",0,0,0,0
"patted",0,0,0,0
"paused",0,0,0,0
"persisted",0,0,0,0
"produced",0,0,0,0
"quivered",0,0,0,0
"in a little smile",0,1,0,0
"raised",0,0,0,0
"his hands",0,0,0,0
"recognized",0,0,0,0
"remained",0,0,0,0
"sitting staidly",0,0,0,0
"reminded",0,0,0,0
"replied",0,0,0,0
"with conviction",1,0,0,0
"resplendent in a white duck suit",0,1,0,0
"responded",0,0,0,0
"said",0,0,0,0
"gently",0,1,0,0
"quickly",0,0,0,0
"slowly",0,0,0,0
"calmly",0,1,0,0
"gravely",1,0,0,0
"softly",0,0,0,0
"nothing",0,0,0,0
"thoughtfully",0,1,0,0
"cautiously",0,1,0,0
"coldly",1,0,0,0
"dryly",0,0,0,0
"energetically",0,1,0,0
"engagingly",0,0,0,0
"gallantly",0,1,0,0
"in a tone of great understanding",0,2,0,0
"reflectively",0,0,0,0
"sat",0,0,0,0
"lost in thought",1,0,0,0
"shook",0,0,0,0
"his head",0,0,0,0
"shrugged",0,0,0,0
"sighed",1,0,0,0
"smiled",0,1,0,0
"apologetically",0,1,0,0
"spoke",0,0,0,0
"stayed behind",0,0,0,0
"stirred",0,0,0,0
"stood",0,0,0,0
"scanning them",0,0,0,0
"by the table",0,0,0,0
"stroked",0,0,0,0
"reminiscently",0,0,0,0
"studied",0,0,0,0
"ruefully",1,0,0,0
"tapped",0,0,0,0
"gently",0,1,0,0
"thought",0,0,0,0
"took notice",0,0,0,0
"walked",0,0,0,0
"almost pleading",0,0,0,0
"thoughtful",0,1,0,0
"sniff",0,0,0,0
"delicately",0,1,0,0
"waved",0,0,0,0
"went on",0,0,0,0
"withdrew",0,0,0,0
"close ",0,0,0,0
"the door gently",0,1,0,0
