target,type,source
Poirot,undirected,agreed
agreed,undirected,diplomatically
Poirot,undirected,acknowledged
Poirot,undirected,admitted
Poirot,undirected,answered
Poirot,undirected,arranged
arranged,undirected,neatly
Poirot,undirected,asked
asked,undirected,gently
Poirot,undirected,assented
Poirot,undirected,looked
looked,undirected,thoughtfully
looked,undirected,with appreciation
looked,undirected,into it
looked,undirected,serious
Poirot,undirected,beamed
beamed,undirected,kindly
Poirot,undirected,breakfasted
Poirot,undirected,came
came,undirected,gallantly
Poirot,undirected,cried
Poirot,undirected,cut in
Poirot,undirected,descended
Poirot,undirected,displayed
displayed,undirected,silently
Poirot,undirected,encountered
Poirot,undirected,entered
Poirot,undirected,felt
felt,undirected,a keen sense of pleasure
Poirot,undirected,finished the sentence
Poirot,undirected,followed
Poirot,undirected,frowned
Poirot,undirected,got up
Poirot,undirected,eloquent
Poirot,undirected,moved
Poirot,undirected,hesitated
Poirot,undirected,interrupted
Poirot,undirected,leaned back
Poirot,undirected,leaned forward
Poirot,undirected,leaped
Poirot,undirected,liked 
Poirot,undirected,murmured
murmured,undirected,thoughtfully
Poirot,undirected,nodded
Poirot,undirected,observed
observed,undirected,meditatively
Poirot,undirected,offered
offered,undirectedm,a cigarette
Poirot,undirected,patted
Poirot,undirected,paused
Poirot,undirected,persisted
Poirot,undirected,produced
Poirot,undirected,quivered
quivered,undirected,in a little smile
Poirot,undirected,raised
raised,undirected,his hands
Poirot,undirected,recognized
Poirot,undirected,remained
remained,undirected,sitting staidly
Poirot,undirected,reminded
Poirot,undirected,replied
replied,undirected,with conviction
Poirot,undirected,resplendent in a white duck suit
Poirot,undirected,responded
Poirot,undirected,said
said,undirected,gently
said,undirected,quickly
said,undirected,slowly
said,undirected,calmly
said,undirected,gravely
said,undirected,softly
said,undirected,nothing
said,undirected,thoughtfully
said,undirected,cautiously
said,undirected,coldly
said,undirected,dryly
said,undirected,energetically
said,undirected,engagingly
said,undirected,gallantly
said,undirected,in a tone of great understanding
said,undirected,reflectively
Poirot,undirected,sat
Poirot,undirected,lost in thought
Poirot,undirected,shook
shook,undirected,his head
Poirot,undirected,shrugged
Poirot,undirected,sighed
Poirot,undirected,smiled
smiled,undirected,apologetically
Poirot,undirected,spoke
Poirot,undirected,stayed behind
Poirot,undirected,stirred
Poirot,undirected,stood
stood,undirected,scanning them
stood,undirected,by the table
Poirot,undirected,stroked
stroked,undirected,reminiscently
Poirot,undirected,studied
studied,undirected,ruefully
Poirot,undirected,tapped
tapped,undirected,gently
Poirot,undirected,thought
Poirot,undirected,took notice
Poirot,undirected,walked
Poirot,undirected,almost pleading
Poirot,undirected,thoughtful
Poirot,undirected,sniff
sniff,undirected,delicately
Poirot,undirected,waved
Poirot,undirected,went on
Poirot,undirected,withdrew
Poirot,undirected,close 
close,undirected,the door gently



















